StadiumID,Name,City,State_x,Country,Capacity,PlayingSurface,GeoLat,GeoLong,Type,Date,Year,SB,Winner,Winner Pts,Loser,Loser Pts,MVP,Stadium,State_y
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Feb 2,2020,LIV (54),Kansas City Chiefs,31,San Francisco 49ers,20,Patrick Mahomes,Hard Rock Stadium,Florida
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Feb 7,2010,XLIV (44),New Orleans Saints,31,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Florida
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Feb 4,2007,XLI (41),Indianapolis Colts,29,Chicago Bears,17,Peyton Manning,Dolphin Stadium,Florida
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Jan 31,1999,XXXIII (33),Denver Broncos,34,Atlanta Falcons,19,John Elway+,Pro Player Stadium,Florida
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Jan 29,1995,XXIX (29),San Francisco 49ers,49,San Diego Chargers,26,Steve Young+,Joe Robbie Stadium,Florida
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor,Jan 22,1989,XXIII (23),San Francisco 49ers,20,Cincinnati Bengals,16,Jerry Rice+,Joe Robbie Stadium,Florida
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813528,-74.074361,Outdoor,Feb 2,2014,XLVIII (48),Seattle Seahawks,43,Denver Broncos,8,Malcolm Smith,MetLife Stadium,New Jersey
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Artificial,39.760056,-86.163806,RetractableDome,Feb 5,2012,XLVI (46),New York Giants,21,New England Patriots,17,Eli Manning,Lucas Oil Stadium,Indiana
10,TIAA Bank Field,Jacksonville,FL,USA,69132,Grass,30.323889,-81.6375,Outdoor,Feb 6,2005,XXXIX (39),New England Patriots,24,Philadelphia Eagles,21,Deion Branch,Alltel Stadium,Florida
11,NRG Stadium,Houston,TX,USA,72220,Artificial,29.684722,-95.410833,RetractableDome,Feb 5,2017,LI (51),New England Patriots,34,Atlanta Falcons,28,Tom Brady,NRG Stadium,Texas
11,NRG Stadium,Houston,TX,USA,72220,Artificial,29.684722,-95.410833,RetractableDome,Feb 1,2004,XXXVIII (38),New England Patriots,32,Carolina Panthers,29,Tom Brady,Reliant Stadium,Texas
11,NRG Stadium,Houston,TX,USA,72220,Artificial,29.684722,-95.410833,RetractableDome,Jan 13,1974,VIII (8),Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka+,Rice Stadium,Texas
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,Outdoor,Jan 26,2003,XXXVII (37),Tampa Bay Buccaneers,48,Oakland Raiders,21,Dexter Jackson,Qualcomm Stadium,California
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,Outdoor,Jan 25,1998,XXXII (32),Denver Broncos,31,Green Bay Packers,24,Terrell Davis+,Qualcomm Stadium,California
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,Outdoor,Jan 31,1988,XXII (22),Washington Redskins,42,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,California
17,AT&T Stadium,Arlington,TX,USA,80000,Artificial,32.747778,-97.092778,RetractableDome,Feb 6,2011,XLV (45),Green Bay Packers,31,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Texas
21,Ford Field,Detroit,MI,USA,65000,Artificial,42.340021,-83.045556,Dome,Feb 5,2006,XL (40),Pittsburgh Steelers,21,Seattle Seahawks,10,Hines Ward,Ford Field,Michigan
23,Mall of America Field,Minneapolis,MN,US,64111,Dome,44.976,-93.225,Dome,Feb 4,2018,LII (52),Philadelphia Eagles,41,New England Patriots,33,Nick Foles,U.S. Bank Stadium,Minnesota
23,Mall of America Field,Minneapolis,MN,US,64111,Dome,44.976,-93.225,Dome,Jan 26,1992,XXVI (26),Washington Redskins,37,Buffalo Bills,24,Mark Rypien,Metrodome,Minnesota
36,Huntington Bank Stadium,Minneapolis,MN,USA,50805,Artificial,44.976,-93.225,Outdoor,Feb 4,2018,LII (52),Philadelphia Eagles,41,New England Patriots,33,Nick Foles,U.S. Bank Stadium,Minnesota
36,Huntington Bank Stadium,Minneapolis,MN,USA,50805,Artificial,44.976,-93.225,Outdoor,Jan 26,1992,XXVI (26),Washington Redskins,37,Buffalo Bills,24,Mark Rypien,Metrodome,Minnesota
